"Palay and Corn: Area Harvested in Hectares by Ecosystem/Croptype, Quarter, Semester, Region and Province, 1987-2026"

"Ecosystem/Croptype","Geolocation","2003 Quarter 1","2003 Quarter 2","2003 Quarter 3","2003 Quarter 4","2004 Quarter 1","2004 Quarter 2","2004 Quarter 3","2004 Quarter 4","2005 Quarter 1","2005 Quarter 2","2005 Quarter 3","2005 Quarter 4","2006 Quarter 1","2006 Quarter 2","2006 Quarter 3","2006 Quarter 4","2007 Quarter 1","2007 Quarter 2","2007 Quarter 3","2007 Quarter 4","2008 Quarter 1","2008 Quarter 2","2008 Quarter 3","2008 Quarter 4","2009 Quarter 1","2009 Quarter 2","2009 Quarter 3","2009 Quarter 4","2010 Quarter 1","2010 Quarter 2","2010 Quarter 3","2010 Quarter 4","2011 Quarter 1","2011 Quarter 2","2011 Quarter 3","2011 Quarter 4","2012 Quarter 1","2012 Quarter 2","2012 Quarter 3","2012 Quarter 4","2013 Quarter 1","2013 Quarter 2","2013 Quarter 3","2013 Quarter 4","2014 Quarter 1","2014 Quarter 2","2014 Quarter 3","2014 Quarter 4","2015 Quarter 1","2015 Quarter 2","2015 Quarter 3","2015 Quarter 4","2016 Quarter 1","2016 Quarter 2","2016 Quarter 3","2016 Quarter 4","2017 Quarter 1","2017 Quarter 2","2017 Quarter 3","2017 Quarter 4","2018 Quarter 1","2018 Quarter 2","2018 Quarter 3","2018 Quarter 4","2019 Quarter 1","2019 Quarter 2","2019 Quarter 3","2019 Quarter 4","2020 Quarter 1","2020 Quarter 2","2020 Quarter 3","2020 Quarter 4","2021 Quarter 1","2021 Quarter 2","2021 Quarter 3","2021 Quarter 4","2022 Quarter 1","2022 Quarter 2","2022 Quarter 3","2022 Quarter 4","2023 Quarter 1","2023 Quarter 2","2023 Quarter 3","2023 Quarter 4","2024 Quarter 1","2024 Quarter 2","2024 Quarter 3","2024 Quarter 4"
"Irrigated Palay","....Tarlac",18385.00,14450.00,4831.00,63627.00,29997.00,5749.00,4270.00,60390.00,24330.00,9950.00,4045.00,64986.00,19920.00,10019.00,3976.00,67742.00,24560.00,14300.00,2050.00,75396.00,25698.00,15068.00,4691.00,74549.00,28528.00,14472.00,7900.00,68566.00,28190.00,17948.00,8339.00,69876.00,30754.00,17051.00,6357.00,53332.00,32603.00,17706.00,5140.00,58916.00,40068.00,16522.00,6196.00,60428.00,39271.00,16900.00,8655.00,61004.00,37686.00,16064.00,7202.00,62635.00,36661.00,18459.00,7550.00,60189.00,37607.00,17331.00,11023.00,59670.00,37429.00,17745.00,9829.00,59533.00,40866.76,16808.00,12991.00,59944.00,38634.00,15691.00,13770.00,60415.00,39583.00,16781.00,14441.00,63763.00,39780.00,16414.00,16039.00,64345.00,39038.00,16796.00,16085.00,64051.00,39557.00,16755.00,16370.00,64205.00
"Irrigated Palay","....Zambales",4280.00,3286.00,1200.00,7925.00,4300.00,3610.00,1750.00,7685.00,4400.00,3650.00,2080.00,7718.00,4528.00,3710.00,910.00,9780.00,4678.00,3550.00,872.00,9950.00,6023.00,2939.00,1160.00,10570.00,6365.00,3336.00,1617.00,9744.00,5184.00,4029.00,940.00,10661.00,6986.00,3180.00,1204.00,9770.00,6760.00,3225.00,1285.00,10005.00,7232.00,4450.00,1837.00,10695.00,7005.00,4920.00,1702.00,11223.00,7284.00,4423.00,2051.00,11191.00,5375.00,4334.00,1590.00,14930.00,6584.00,4205.00,1388.00,12623.00,4739.00,5454.00,821.00,14280.00,5745.00,3421.00,2469.00,11968.00,6703.00,6620.00,3031.00,11857.00,6496.00,4862.00,2006.00,12983.00,4409.00,6620.00,1441.66,11458.00,5722.00,6384.61,4636.00,8500.00,5210.00,5883.00,2938.00,9467.23
"Rainfed Palay","....Batanes",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,53.83,35.89,0.00,1.15,6.77,0.00,0.00,7.25,0.25,80.85,0.00,2.71,12.23,70.00,0.00,3.00,10.00,9.64,0.00,4.70,21.25,45.00,0.00,3.80,24.80,36.18,0.00,2.00,22.00,48.00,0.00,0.00,23.00,56.00,0.00,1.50,9.85,38.00,0.00,2.00,21.00,34.00,0.00,2.50,24.50,33.20,0.00,2.45,18.00,31.00
"Rainfed Palay","....Cagayan",12377.00,13288.00,2008.00,15661.00,18095.00,18156.00,208.00,16120.00,15479.00,13922.00,1041.00,4920.00,19267.00,18283.00,188.00,12075.00,19415.00,18423.00,225.00,14476.00,19439.00,18732.00,2542.00,16536.00,22508.00,15687.00,4267.00,13065.00,24984.00,7650.00,1008.00,8013.00,28988.00,8005.00,1276.00,14412.00,23239.00,11749.00,3051.00,14433.00,20925.00,9728.00,840.00,8858.00,25760.00,8102.00,213.00,16486.00,19144.00,11025.00,110.00,14670.00,15963.00,8706.00,286.00,11241.00,14338.00,17268.00,608.00,14599.00,18645.00,12977.00,206.00,11759.00,10925.00,12758.00,1026.00,12992.00,12758.00,14591.00,1226.00,12715.00,13251.00,14017.00,819.00,16013.00,10955.00,11781.00,1553.00,21987.00,10735.00,16041.00,1636.00,21996.00,10944.00,14796.00,1218.00,22791.00
"Rainfed Palay","....Isabela",7221.00,0.00,20.00,1827.00,8340.00,659.00,1102.00,1293.00,5609.00,903.00,140.00,1503.00,5805.00,1002.00,413.00,7231.00,6025.00,1883.00,1542.00,5742.00,5479.00,3905.00,2002.00,7388.00,6668.00,5545.00,1760.00,10824.00,8205.00,0.00,0.00,10421.00,7899.00,5822.00,90.00,10801.00,10243.00,3212.00,1789.00,12627.00,8283.00,4573.00,600.00,14382.00,10269.00,3818.00,0.00,9866.00,6969.00,7509.00,580.00,7310.00,7225.00,4246.00,353.00,6733.00,5614.00,6455.00,397.00,8516.00,6483.00,6615.00,285.00,9034.00,4753.00,5396.00,205.00,9120.00,3396.00,4662.00,275.00,8636.00,4731.00,5512.00,148.00,8633.00,4085.24,4874.00,440.00,10351.63,3400.83,8273.00,624.00,10122.00,3853.56,8788.00,883.00,10846.00
"Rainfed Palay","....Nueva Vizcaya",1725.00,0.00,0.00,138.00,1685.00,0.00,0.00,128.00,1685.00,0.00,0.00,135.00,1685.00,0.00,0.00,1470.00,1680.00,0.00,0.00,1870.00,1800.00,0.00,150.00,1730.00,1772.00,28.00,160.00,1720.00,1707.00,0.00,0.00,1870.00,1760.00,100.00,100.00,1980.00,1760.00,100.00,100.00,2560.00,1792.00,100.00,104.00,2546.00,1616.00,90.00,5.00,1122.00,1850.00,97.00,8.00,1537.00,1872.00,75.00,133.00,1597.00,1779.00,87.00,157.00,1227.00,1379.00,136.00,90.00,998.00,1242.00,236.00,109.00,985.00,1215.00,212.00,137.00,1047.00,1279.00,162.00,108.00,1219.00,984.00,450.00,51.00,958.00,567.00,865.00,142.00,1247.00,637.00,372.00,25.00,595.00
"Rainfed Palay","....Quirino",1173.00,90.00,0.00,402.00,1373.00,120.00,0.00,675.00,555.00,950.00,0.00,675.00,585.00,1020.00,0.00,860.00,980.00,630.00,0.00,435.00,1055.00,518.00,50.00,875.00,250.00,1023.00,110.00,745.00,345.00,0.00,0.00,565.00,301.00,715.00,26.00,1495.00,232.00,613.00,20.00,1230.00,438.00,219.00,39.00,1521.00,464.00,271.00,0.00,1616.00,541.00,466.00,0.00,1022.00,638.00,296.00,0.00,966.00,717.00,264.00,0.00,1399.00,605.00,296.00,0.00,1562.00,26.00,677.00,0.00,1381.00,560.00,294.00,0.00,1509.00,284.00,580.00,0.00,1839.00,150.00,983.00,0.00,2466.00,244.00,1329.96,14.00,1746.00,310.00,1453.00,0.00,1533.00
"Rainfed Palay","....Aurora",550.00,330.00,375.00,1125.00,500.00,262.00,370.00,1040.00,500.00,350.00,400.00,1050.00,470.00,380.00,380.00,900.00,650.00,600.00,410.00,520.00,400.00,373.00,475.00,518.00,450.00,450.00,410.00,460.00,410.00,380.00,380.00,387.00,415.00,400.00,340.00,294.00,415.00,430.00,380.00,380.00,413.00,420.00,355.00,333.00,416.00,420.00,290.00,230.00,435.00,415.00,213.00,285.00,330.00,438.00,310.00,208.00,388.00,600.00,363.00,331.00,388.00,442.00,363.00,429.00,370.00,208.00,256.00,222.00,362.00,200.00,276.00,254.00,373.00,360.00,340.00,224.00,390.00,306.00,335.00,111.00,285.00,251.00,335.00,105.00,231.89,198.55,114.00,94.00
"Rainfed Palay","....Bataan",0.00,0.00,0.00,125.00,0.00,0.00,0.00,180.00,0.00,0.00,0.00,205.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,798.00,35.00,0.00,0.00,776.00,0.00,0.00,0.00,798.00,0.00,0.00,0.00,600.00,0.00,0.00,0.00,725.00,0.00,0.00,0.00,456.00,0.00,0.00,0.00,558.00,0.00,0.00,0.00,557.00,0.00,0.00,0.00,550.00,0.00,0.00,0.00,470.00,1.00,0.00,0.00,412.00,0.00,0.00,0.00,400.00,0.00,0.00,0.00,371.00,0.00,0.00,0.00,333.00,0.00,0.00,0.00,352.00,0.00,0.00,0.00,319.00,0.00,0.00,0.00,317.00,0.00,0.00,0.00,323.00
"Rainfed Palay","....Bulacan",0.00,0.00,600.00,19600.00,0.00,0.00,50.00,20050.00,0.00,0.00,1267.00,18783.00,632.00,0.00,135.00,19177.00,0.00,0.00,0.00,20664.00,0.00,0.00,701.00,20610.00,0.00,0.00,713.00,20673.00,0.00,0.00,0.00,20144.00,0.00,0.00,1178.00,10782.00,0.00,0.00,739.00,13765.00,750.00,0.00,1000.00,12865.00,750.00,0.00,360.00,13790.00,750.00,0.00,922.00,12527.00,140.00,0.00,922.00,11098.00,600.00,0.00,925.00,13372.00,602.00,0.00,925.00,12332.00,447.00,0.00,602.00,12051.00,550.00,0.00,904.00,11696.00,554.00,1690.00,1267.00,11386.00,585.00,0.00,2377.00,6226.00,518.00,0.00,1673.00,5995.51,0.00,0.00,632.12,7506.00
"Rainfed Palay","....Nueva Ecija",0.00,0.00,0.00,41344.00,0.00,0.00,500.00,39700.00,0.00,0.00,0.00,38200.00,0.00,0.00,0.00,38850.00,0.00,0.00,0.00,38700.00,0.00,0.00,600.00,39000.00,0.00,0.00,0.00,38731.00,0.00,0.00,0.00,38810.00,0.00,0.00,80.00,37170.00,0.00,0.00,170.00,38217.00,0.00,0.00,125.00,38066.00,0.00,0.00,0.00,37528.00,0.00,0.00,0.00,37937.00,0.00,0.00,0.00,34373.00,0.00,0.00,12.00,33166.00,0.00,0.00,15.00,33166.00,0.00,0.00,119.00,23701.00,0.00,0.00,3200.00,17678.00,0.00,0.00,2176.02,12236.00,0.00,0.00,1218.00,4867.00,0.00,0.00,0.00,4069.00,0.00,0.00,0.00,2610.00
"Rainfed Palay","....Pampanga",175.00,0.00,0.00,3045.00,105.00,0.00,0.00,3070.00,75.00,0.00,45.00,3122.00,48.00,0.00,100.00,3380.00,49.00,0.00,170.00,3285.00,40.00,0.00,200.00,3400.00,0.00,0.00,170.00,2255.00,0.00,0.00,155.00,2935.00,0.00,0.00,185.00,2735.00,0.00,0.00,160.00,3020.00,0.00,0.00,175.00,3505.00,0.00,0.00,212.00,3493.00,0.00,0.00,221.00,3348.00,0.00,0.00,195.00,1200.00,0.00,0.00,194.00,1280.00,0.00,0.00,151.00,1254.00,0.00,0.00,280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Rainfed Palay","....Tarlac",0.00,0.00,150.00,11174.00,0.00,0.00,438.00,10800.00,0.00,0.00,728.00,9100.00,0.00,0.00,779.00,8700.00,0.00,0.00,1172.00,8610.00,0.00,0.00,853.00,8800.00,0.00,0.00,955.00,9069.00,0.00,0.00,635.00,8436.00,166.00,0.00,250.00,8824.00,169.00,0.00,448.00,8273.00,150.00,0.00,300.00,11200.00,162.00,0.00,185.00,10268.00,400.00,0.00,185.00,9914.00,237.00,0.00,215.00,10469.00,80.00,0.00,309.00,9055.00,99.00,0.00,206.00,6094.00,103.00,0.00,402.00,7757.00,94.00,0.00,426.00,7846.00,102.00,0.00,113.00,4906.00,0.00,0.00,153.00,3232.00,0.00,0.00,150.00,3616.00,0.00,0.00,135.00,3665.00
"Rainfed Palay","....Zambales",0.00,0.00,50.00,8236.00,0.00,0.00,150.00,8020.00,0.00,0.00,160.00,8038.00,0.00,0.00,100.00,9183.00,0.00,0.00,0.00,8900.00,0.00,0.00,120.00,9050.00,0.00,0.00,60.00,9022.00,0.00,0.00,0.00,9056.00,0.00,0.00,0.00,9145.00,0.00,0.00,63.00,8805.00,0.00,0.00,63.00,8875.00,0.00,0.00,70.00,8508.00,0.00,0.00,60.00,8671.00,0.00,0.00,0.00,6237.00,0.00,0.00,120.00,7890.00,0.00,0.00,0.00,7818.00,0.00,0.00,776.00,7048.00,0.00,0.00,1922.00,5867.00,0.00,0.00,1653.00,6971.00,0.00,0.00,995.65,8081.00,0.00,0.00,2354.00,6547.00,0.00,0.00,2469.00,6553.41
